Resultados por comunidad aut󮯭a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Estudiantes de nuevo ingreso en Grado por tipo y modalidad de la universidad, sexo, zona de nacionalidad y rama de ense񡮺a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Unidades: Nmero de estudiantes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Total;;;;;;;Ciencias Sociales y Jur_cas;;;;;;;Ingenier_y Arquitectura;;;;;;;Artes y Humanidades;;;;;;;Ciencias de la Salud;;;;;;;Ciencias;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022
Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
        Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
            Ambos sexos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Uni󮠅uropea;3115.0;3589.0;3527.0;3770.0;3936.0;3744.0;3859.0;982.0;1188.0;1240.0;1306.0;1434.0;1310.0;1445.0;592.0;638.0;647.0;707.0;764.0;720.0;683.0;217.0;232.0;240.0;266.0;282.0;255.0;217.0;1199.0;1400.0;1288.0;1365.0;1320.0;1331.0;1391.0;125.0;131.0;112.0;126.0;136.0;128.0;123.0
                Resto de Europa;591.0;621.0;630.0;593.0;644.0;617.0;822.0;292.0;297.0;291.0;253.0;297.0;297.0;366.0;163.0;198.0;206.0;202.0;212.0;185.0;250.0;53.0;48.0;48.0;47.0;40.0;51.0;82.0;53.0;56.0;61.0;59.0;65.0;58.0;88.0;30.0;22.0;24.0;32.0;30.0;26.0;36.0
                EEUU y Canadỷ6.0;64.0;106.0;126.0;148.0;145.0;156.0;41.0;33.0;54.0;76.0;94.0;88.0;80.0;9.0;4.0;6.0;13.0;13.0;16.0;27.0;13.0;12.0;24.0;12.0;12.0;16.0;21.0;9.0;12.0;18.0;23.0;21.0;23.0;22.0;4.0;3.0;4.0;2.0;8.0;2.0;6.0;
                Am鲩ca Latina y Caribe;1982.0;1937.0;2220.0;2609.0;2957.0;2677.0;3351.0;845.0;863.0;1002.0;1256.0;1433.0;1294.0;1740.0;637.0;647.0;728.0;797.0;892.0;760.0;870.0;213.0;166.0;221.0;254.0;281.0;277.0;308.0;199.0;176.0;183.0;196.0;238.0;237.0;298.0;88.0;85.0;86.0;106.0;113.0;109.0;135.0
                Norte de frica;663.0;711.0;733.0;804.0;1144.0;1439.0;1340.0;222.0;269.0;292.0;307.0;413.0;505.0;484.0;313.0;304.0;306.0;340.0;501.0;698.0;645.0;27.0;45.0;34.0;35.0;59.0;72.0;56.0;79.0;69.0;85.0;91.0;125.0;127.0;123.0;22.0;24.0;16.0;31.0;46.0;37.0;32.0
                Resto de frica;226.0;233.0;289.0;290.0;299.0;276.0;317.0;124.0;132.0;137.0;159.0;167.0;145.0;153.0;65.0;63.0;102.0;92.0;101.0;82.0;118.0;17.0;18.0;25.0;25.0;12.0;28.0;26.0;11.0;13.0;18.0;9.0;13.0;13.0;14.0;9.0;7.0;7.0;5.0;6.0;8.0;6.0
                Asia y Ocean_999.0;986.0;1115.0;1216.0;1349.0;1340.0;1233.0;489.0;459.0;567.0;548.0;659.0;592.0;534.0;281.0;294.0;313.0;389.0;382.0;436.0;437.0;122.0;116.0;122.0;101.0;124.0;135.0;101.0;79.0;82.0;83.0;135.0;147.0;128.0;104.0;28.0;35.0;30.0;43.0;37.0;49.0;57.0;
            Mujeres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                Total;187432.0;185662.0;186116.0;185348.0;189534.0;203674.0;195812.0;96962.0;95822.0;97306.0;93998.0;96229.0;103249.0;96987.0;13742.0;13348.0;13271.0;13594.0;14431.0;15485.0;16617.0;22541.0;23001.0;22386.0;23122.0;23668.0;25159.0;23504.0;43203.0;42661.0;42360.0;43774.0;44408.0;48563.0;47740.0;10984.0;10830.0;10793.0;10860.0;10798.0;11218.0;10964.0
                Espa񡻱76565.0;174306.0;173732.0;172296.0;175430.0;188885.0;180404.0;91692.0;90466.0;91369.0;87793.0;89382.0;96257.0;89813.0;12900.0;12354.0;12096.0;12365.0;13041.0;13904.0;14864.0;21125.0;21473.0;20876.0;21531.0;21997.0;23361.0;21723.0;40233.0;39547.0;39055.0;40202.0;40656.0;44637.0;43535.0;10615.0;10466.0;10336.0;10405.0;10354.0;10726.0;10469.0;
