total2015-2016,total2016-2017,total2017-2018,total2018-2019,total2019-2020,total2020-2021,-2021-2022,sociales+jur2015-2016,sociales+jur2016-2017,sociales+jur2017-2018,sociales+jur2018-2019,sociales+jur2019-2020,sociales+jur2020-2021,-2021-2022,ing+arqui2015-2016,ing+arqui2016-2017,ing+arqui2017-2018,ing+arqui2018-2019,ing+arqui2019-2020,ing+arqui2020-2021,-2021-2022,arte+hum2015-2016,arte+hum2016-2017,arte+hum2017-2018,arte+hum2018-2019,arte+hum2019-2020,arte+hum2020-2021,-2021-2022,c.salud2015-2016,c.salud2016-2017,c.salud2017-2018,c.salud2018-2019,c.salud2019-2020,c.salud2020-2021,-2021-2022,ciencias2015-2016,ciencias2016-2017,ciencias2017-2018,ciencias2018-2019,ciencias2019-2020,ciencias2020-2021,-2021-2022,genero,universidad_tipo,formato
4101.0,3972.0,3967.0,4036.0,4153.0,4003.0,2023.0,2031.0,2032.0,2002.0,2036.0,2119.0,2062.0,277.0,205.0,186.0,199.0,205.0,228.0,265.0,554.0,586.0,517.0,498.0,506.0,515.0,488.0,905.0,959.0,922.0,950.0,967.0,963.0,912.0,300.0,320.0,315.0,318.0,322.0,328.0,276.0,-,mujeres,publica,presencial
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,ambos_sexos,publica,online
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,hombres,publica,online
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,publica,online
2711.0,2828.0,2603.0,2881.0,3013.0,3299.0,1330.0,1306.0,1503.0,1193.0,1517.0,1429.0,1493.0,197.0,202.0,190.0,220.0,181.0,195.0,262.0,15.0,16.0,10.0,39.0,37.0,22.0,18.0,980.0,1126.0,1040.0,1078.0,1078.0,1266.0,1470.0,25.0,61.0,85.0,73.0,68.0,101.0,56.0,-,ambos_sexos,privada,ambos_formatos
1211.0,1164.0,1138.0,1138.0,1229.0,1401.0,598.0,604.0,601.0,566.0,604.0,594.0,673.0,165.0,168.0,159.0,180.0,153.0,164.0,212.0,4.0,3.0,4.0,10.0,11.0,4.0,8.0,357.0,408.0,368.0,355.0,342.0,423.0,487.0,8.0,28.0,32.0,27.0,28.0,44.0,21.0,-,hombres,privada,ambos_formatos
1500.0,1664.0,1465.0,1743.0,1784.0,1898.0,732.0,702.0,902.0,627.0,913.0,835.0,820.0,32.0,34.0,31.0,40.0,28.0,31.0,50.0,11.0,13.0,6.0,29.0,26.0,18.0,10.0,623.0,718.0,672.0,723.0,736.0,843.0,983.0,17.0,33.0,53.0,46.0,40.0,57.0,35.0,-,mujeres,privada,ambos_formatos
2711.0,2828.0,2603.0,2881.0,3013.0,3299.0,1330.0,1306.0,1503.0,1193.0,1517.0,1429.0,1493.0,197.0,202.0,190.0,220.0,181.0,195.0,262.0,15.0,16.0,10.0,39.0,37.0,22.0,18.0,980.0,1126.0,1040.0,1078.0,1078.0,1266.0,1470.0,25.0,61.0,85.0,73.0,68.0,101.0,56.0,-,ambos_sexos,privada,presencial
1211.0,1164.0,1138.0,1138.0,1229.0,1401.0,598.0,604.0,601.0,566.0,604.0,594.0,673.0,165.0,168.0,159.0,180.0,153.0,164.0,212.0,4.0,3.0,4.0,10.0,11.0,4.0,8.0,357.0,408.0,368.0,355.0,342.0,423.0,487.0,8.0,28.0,32.0,27.0,28.0,44.0,21.0,-,hombres,privada,presencial
1500.0,1664.0,1465.0,1743.0,1784.0,1898.0,732.0,702.0,902.0,627.0,913.0,835.0,820.0,32.0,34.0,31.0,40.0,28.0,31.0,50.0,11.0,13.0,6.0,29.0,26.0,18.0,10.0,623.0,718.0,672.0,723.0,736.0,843.0,983.0,17.0,33.0,53.0,46.0,40.0,57.0,35.0,-,mujeres,privada,presencial
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,ambos_sexos,privada,online
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,hombres,privada,online
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,privada,online
