--,total2015-2016,total2016-2017,total2017-2018,total2018-2019,total2019-2020,total2020-2021,-2021-2022,sociales+jur2015-2016,sociales+jur2016-2017,sociales+jur2017-2018,sociales+jur2018-2019,sociales+jur2019-2020,sociales+jur2020-2021,-2021-2022,ing+arqui2015-2016,ing+arqui2016-2017,ing+arqui2017-2018,ing+arqui2018-2019,ing+arqui2019-2020,ing+arqui2020-2021,-2021-2022,arte+hum2015-2016,arte+hum2016-2017,arte+hum2017-2018,arte+hum2018-2019,arte+hum2019-2020,arte+hum2020-2021,-2021-2022,c.salud2015-2016,c.salud2016-2017,c.salud2017-2018,c.salud2018-2019,c.salud2019-2020,c.salud2020-2021,-2021-2022,ciencias2015-2016,ciencias2016-2017,ciencias2017-2018,ciencias2018-2019,ciencias2019-2020,ciencias2020-2021,-2021-2022,genero,universidad_tipo,formato
                Resto de frica,3.0,4.0,5.0,8.0,10.0,6.0,7.0,2.0,2.0,0.0,5.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ambos_sexos,ambas,presencial
                Asia y Ocean_12.0,9.0,10.0,27.0,14.0,16.0,23.0,7.0,7.0,5.0,12.0,7.0,7.0,8.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,11.0,5.0,8.0,14.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-,ambos_sexos,ambas,presencial
        No Presencial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,ambas,online
            Ambos sexos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,ambas,online
                Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,ambas,online
                Espa񡻰.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,ambos_sexos,ambas,online
                Uni󮠅uropea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,ambas,online
                Resto de Europa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,ambas,online
                EEUU y CanadỰ.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,ambos_sexos,ambas,online
                Am鲩ca Latina y Caribe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,ambas,online
                Norte de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,ambas,online
                Resto de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,ambas,online
                Asia y Ocean_0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,hombres,ambas,online
            Hombres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,hombres,ambas,online
                Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,ambas,online
                Espa񡻰.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,hombres,ambas,online
                Uni󮠅uropea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,ambas,online
                Resto de Europa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,ambas,online
                EEUU y CanadỰ.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,hombres,ambas,online
                Am鲩ca Latina y Caribe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hombres,ambas,online
                Norte de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,ambas,online
                Resto de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,ambas,online
                Asia y Ocean_0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,ambas,online
            Mujeres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,mujeres,ambas,online
                Total,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,ambas,online
                Espa񡻰.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,ambas,online
                Uni󮠅uropea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,ambas,online
                Resto de Europa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,ambas,online
                EEUU y CanadỰ.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,ambas,online
                Am鲩ca Latina y Caribe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mujeres,ambas,online
                Norte de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,publica,online
                Resto de frica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ambos_sexos,publica,online
                Asia y Ocean_0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,ambos_sexos,publica,online
    Pblica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,publica,ambos_formatos
        Total,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,publica,ambos_formatos
            Ambos sexos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,publica,ambos_formatos
                Total,7758.0,7798.0,7370.0,7443.0,7358.0,7567.0,7252.0,3593.0,3599.0,3477.0,3490.0,3482.0,3561.0,3403.0,1260.0,1196.0,1084.0,1157.0,1082.0,1183.0,1249.0,922.0,945.0,880.0,806.0,825.0,852.0,768.0,1332.0,1389.0,1298.0,1355.0,1325.0,1340.0,1247.0,651.0,669.0,631.0,635.0,644.0,631.0,585.0,ambos_sexos,publica,ambos_formatos
                Espa񡻷405.0,7421.0,7008.0,7034.0,6996.0,7170.0,6884.0,3426.0,3419.0,3306.0,3281.0,3294.0,3402.0,3249.0,1198.0,1133.0,1005.0,1078.0,1001.0,1049.0,1131.0,881.0,897.0,830.0,750.0,799.0,818.0,740.0,1275.0,1335.0,1259.0,1309.0,1272.0,1285.0,1195.0,625.0,637.0,608.0,616.0,630.0,616.0,569.0,-,ambos_sexos,publica,ambos_formatos
                Uni󮠅uropea,76.0,76.0,69.0,75.0,93.0,65.0,66.0,41.0,37.0,36.0,39.0,45.0,29.0,33.0,7.0,9.0,6.0,4.0,11.0,11.0,7.0,14.0,15.0,12.0,16.0,14.0,9.0,8.0,11.0,10.0,12.0,13.0,18.0,11.0,14.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,ambos_sexos,publica,ambos_formatos
                Resto de Europa,47.0,47.0,34.0,45.0,25.0,25.0,33.0,18.0,25.0,15.0,18.0,14.0,10.0,19.0,7.0,4.0,5.0,12.0,3.0,3.0,8.0,6.0,6.0,5.0,7.0,0.0,3.0,4.0,10.0,8.0,7.0,5.0,4.0,8.0,2.0,6.0,4.0,2.0,3.0,4.0,1.0,0.0,ambos_sexos,publica,ambos_formatos
                EEUU y Canadự.0,1.0,2.0,6.0,3.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-,ambos_sexos,publica,ambos_formatos
                Am鲩ca Latina y Caribe,134.0,134.0,137.0,138.0,104.0,105.0,90.0,67.0,60.0,68.0,75.0,55.0,47.0,40.0,26.0,31.0,28.0,26.0,27.0,29.0,23.0,9.0,12.0,15.0,19.0,5.0,9.0,7.0,22.0,18.0,12.0,13.0,14.0,14.0,14.0,10.0,13.0,14.0,5.0,3.0,6.0,6.0,ambos_sexos,publica,ambos_formatos
                Norte de frica,79.0,100.0,106.0,103.0,101.0,175.0,145.0,34.0,47.0,45.0,47.0,48.0,60.0,44.0,18.0,15.0,36.0,33.0,32.0,82.0,73.0,12.0,14.0,15.0,9.0,6.0,12.0,7.0,8.0,16.0,6.0,11.0,13.0,19.0,16.0,7.0,8.0,4.0,3.0,2.0,2.0,5.0,hombres,publica,ambos_formatos
                Resto de frica,5.0,9.0,5.0,11.0,14.0,7.0,7.0,2.0,6.0,2.0,7.0,8.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,hombres,publica,ambos_formatos
                Asia y Ocean_11.0,10.0,9.0,31.0,22.0,19.0,26.0,5.0,5.0,3.0,19.0,16.0,9.0,15.0,2.0,3.0,3.0,3.0,5.0,7.0,5.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,1.0,2.0,5.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,-,hombres,publica,ambos_formatos
            Hombres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,hombres,publica,ambos_formatos
                Total,3493.0,3443.0,3182.0,3237.0,3110.0,3182.0,3020.0,1468.0,1443.0,1332.0,1361.0,1331.0,1332.0,1240.0,967.0,976.0,879.0,932.0,855.0,908.0,931.0,341.0,321.0,324.0,268.0,298.0,313.0,260.0,384.0,378.0,349.0,369.0,311.0,335.0,293.0,333.0,325.0,298.0,307.0,315.0,294.0,296.0,hombres,publica,ambos_formatos
                Espa񡻳346.0,3320.0,3036.0,3067.0,2960.0,3017.0,2881.0,1403.0,1388.0,1274.0,1279.0,1258.0,1283.0,1187.0,921.0,928.0,819.0,879.0,796.0,821.0,866.0,327.0,311.0,313.0,252.0,293.0,303.0,252.0,370.0,376.0,337.0,359.0,305.0,322.0,283.0,325.0,317.0,293.0,298.0,308.0,288.0,293.0,-,hombres,publica,ambos_formatos
                Uni󮠅uropea,27.0,28.0,22.0,20.0,37.0,23.0,23.0,13.0,13.0,8.0,11.0,21.0,6.0,12.0,5.0,8.0,6.0,3.0,11.0,9.0,6.0,6.0,5.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,hombres,publica,ambos_formatos
                Resto de Europa,19.0,18.0,9.0,27.0,9.0,6.0,17.0,7.0,13.0,2.0,8.0,4.0,0.0,8.0,6.0,4.0,4.0,12.0,3.0,3.0,6.0,2.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,3.0,1.0,1.0,0.0,hombres,publica,ambos_formatos
                EEUU y Canadự.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-,hombres,publica,ambos_formatos
                Am鲩ca Latina y Caribe,63.0,45.0,58.0,56.0,40.0,41.0,34.0,29.0,18.0,26.0,26.0,16.0,12.0,14.0,20.0,22.0,22.0,18.0,17.0,18.0,15.0,4.0,2.0,3.0,7.0,2.0,3.0,1.0,6.0,0.0,4.0,3.0,2.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,1.0,hombres,publica,ambos_formatos
                Norte de frica,31.0,22.0,48.0,40.0,40.0,77.0,48.0,15.0,7.0,17.0,19.0,14.0,22.0,10.0,12.0,11.0,25.0,17.0,22.0,49.0,33.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,mujeres,publica,ambos_formatos
                Resto de frica,3.0,5.0,3.0,5.0,4.0,3.0,3.0,0.0,4.0,2.0,3.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,mujeres,publica,ambos_formatos
                Asia y Ocean_3.0,4.0,5.0,19.0,18.0,14.0,14.0,1.0,0.0,2.0,13.0,14.0,6.0,9.0,1.0,3.0,2.0,2.0,4.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,-,mujeres,publica,ambos_formatos
            Mujeres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,mujeres,publica,ambos_formatos
                Total,4265.0,4355.0,4188.0,4206.0,4248.0,4385.0,4232.0,2125.0,2156.0,2145.0,2129.0,2151.0,2229.0,2163.0,293.0,220.0,205.0,225.0,227.0,275.0,318.0,581.0,624.0,556.0,538.0,527.0,539.0,508.0,948.0,1011.0,949.0,986.0,1014.0,1005.0,954.0,318.0,344.0,333.0,328.0,329.0,337.0,289.0,mujeres,publica,ambos_formatos
                Espa񡻴059.0,4101.0,3972.0,3967.0,4036.0,4153.0,4003.0,2023.0,2031.0,2032.0,2002.0,2036.0,2119.0,2062.0,277.0,205.0,186.0,199.0,205.0,228.0,265.0,554.0,586.0,517.0,498.0,506.0,515.0,488.0,905.0,959.0,922.0,950.0,967.0,963.0,912.0,300.0,320.0,315.0,318.0,322.0,328.0,276.0,-,mujeres,publica,ambos_formatos
                Uni󮠅uropea,49.0,48.0,47.0,55.0,56.0,42.0,43.0,28.0,24.0,28.0,28.0,24.0,23.0,21.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,10.0,8.0,13.0,12.0,5.0,7.0,9.0,9.0,9.0,10.0,16.0,8.0,11.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,mujeres,publica,ambos_formatos
                Resto de Europa,28.0,29.0,25.0,18.0,16.0,19.0,16.0,11.0,12.0,13.0,10.0,10.0,10.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,5.0,5.0,4.0,0.0,2.0,2.0,9.0,8.0,5.0,4.0,3.0,7.0,1.0,3.0,4.0,1.0,0.0,3.0,0.0,0.0,mujeres,publica,ambos_formatos
                EEUU y CanadỰ.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,publica,ambos_formatos
                Am鲩ca Latina y Caribe,71.0,89.0,79.0,82.0,64.0,64.0,56.0,38.0,42.0,42.0,49.0,39.0,35.0,26.0,6.0,9.0,6.0,8.0,10.0,11.0,8.0,5.0,10.0,12.0,12.0,3.0,6.0,6.0,16.0,18.0,8.0,10.0,12.0,9.0,11.0,6.0,10.0,11.0,3.0,0.0,3.0,5.0,mujeres,publica,ambos_formatos
                Norte de frica,48.0,78.0,58.0,63.0,61.0,98.0,97.0,19.0,40.0,28.0,28.0,34.0,38.0,34.0,6.0,4.0,11.0,16.0,10.0,33.0,40.0,10.0,13.0,11.0,7.0,5.0,10.0,5.0,6.0,15.0,4.0,9.0,12.0,16.0,13.0,7.0,6.0,4.0,3.0,0.0,1.0,5.0,ambos_sexos,publica,ambos_formatos
                Resto de frica,2.0,4.0,2.0,6.0,10.0,4.0,4.0,2.0,2.0,0.0,4.0,6.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ambos_sexos,publica,ambos_formatos
                Asia y Ocean_8.0,6.0,4.0,12.0,4.0,5.0,12.0,4.0,5.0,1.0,6.0,2.0,3.0,6.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-,ambos_sexos,publica,ambos_formatos
        Presencial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,publica,presencial
            Ambos sexos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,ambos_sexos,publica,presencial
                Total,7758.0,7798.0,7370.0,7443.0,7358.0,7567.0,7252.0,3593.0,3599.0,3477.0,3490.0,3482.0,3561.0,3403.0,1260.0,1196.0,1084.0,1157.0,1082.0,1183.0,1249.0,922.0,945.0,880.0,806.0,825.0,852.0,768.0,1332.0,1389.0,1298.0,1355.0,1325.0,1340.0,1247.0,651.0,669.0,631.0,635.0,644.0,631.0,585.0,ambos_sexos,publica,presencial
                Espa񡻷405.0,7421.0,7008.0,7034.0,6996.0,7170.0,6884.0,3426.0,3419.0,3306.0,3281.0,3294.0,3402.0,3249.0,1198.0,1133.0,1005.0,1078.0,1001.0,1049.0,1131.0,881.0,897.0,830.0,750.0,799.0,818.0,740.0,1275.0,1335.0,1259.0,1309.0,1272.0,1285.0,1195.0,625.0,637.0,608.0,616.0,630.0,616.0,569.0,-,ambos_sexos,publica,presencial
                Uni󮠅uropea,76.0,76.0,69.0,75.0,93.0,65.0,66.0,41.0,37.0,36.0,39.0,45.0,29.0,33.0,7.0,9.0,6.0,4.0,11.0,11.0,7.0,14.0,15.0,12.0,16.0,14.0,9.0,8.0,11.0,10.0,12.0,13.0,18.0,11.0,14.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,ambos_sexos,publica,presencial
                Resto de Europa,47.0,47.0,34.0,45.0,25.0,25.0,33.0,18.0,25.0,15.0,18.0,14.0,10.0,19.0,7.0,4.0,5.0,12.0,3.0,3.0,8.0,6.0,6.0,5.0,7.0,0.0,3.0,4.0,10.0,8.0,7.0,5.0,4.0,8.0,2.0,6.0,4.0,2.0,3.0,4.0,1.0,0.0,ambos_sexos,publica,presencial
                EEUU y Canadự.0,1.0,2.0,6.0,3.0,1.0,1.0,0.0,0.0,2.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-,ambos_sexos,publica,presencial
                Am鲩ca Latina y Caribe,134.0,134.0,137.0,138.0,104.0,105.0,90.0,67.0,60.0,68.0,75.0,55.0,47.0,40.0,26.0,31.0,28.0,26.0,27.0,29.0,23.0,9.0,12.0,15.0,19.0,5.0,9.0,7.0,22.0,18.0,12.0,13.0,14.0,14.0,14.0,10.0,13.0,14.0,5.0,3.0,6.0,6.0,ambos_sexos,publica,presencial
                Norte de frica,79.0,100.0,106.0,103.0,101.0,175.0,145.0,34.0,47.0,45.0,47.0,48.0,60.0,44.0,18.0,15.0,36.0,33.0,32.0,82.0,73.0,12.0,14.0,15.0,9.0,6.0,12.0,7.0,8.0,16.0,6.0,11.0,13.0,19.0,16.0,7.0,8.0,4.0,3.0,2.0,2.0,5.0,hombres,publica,presencial
