--,total2015-2016,total2016-2017,total2017-2018,total2018-2019,total2019-2020,total2020-2021,-2021-2022,sociales+jur2015-2016,sociales+jur2016-2017,sociales+jur2017-2018,sociales+jur2018-2019,sociales+jur2019-2020,sociales+jur2020-2021,-2021-2022,ing+arqui2015-2016,ing+arqui2016-2017,ing+arqui2017-2018,ing+arqui2018-2019,ing+arqui2019-2020,ing+arqui2020-2021,-2021-2022,arte+hum2015-2016,arte+hum2016-2017,arte+hum2017-2018,arte+hum2018-2019,arte+hum2019-2020,arte+hum2020-2021,-2021-2022,c.salud2015-2016,c.salud2016-2017,c.salud2017-2018,c.salud2018-2019,c.salud2019-2020,c.salud2020-2021,-2021-2022,ciencias2015-2016,ciencias2016-2017,ciencias2017-2018,ciencias2018-2019,ciencias2019-2020,ciencias2020-2021,-2021-2022,genero,universidad_tipo,formato
                Norte de frica,32.0,24.0,53.0,45.0,49.0,95.0,60.0,16.0,9.0,21.0,21.0,20.0,32.0,13.0,12.0,11.0,25.0,17.0,24.0,50.0,34.0,2.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,5.0,2.0,10.0,11.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,mujeres,ambas,presencial
                Resto de frica,4.0,8.0,4.0,10.0,9.0,8.0,11.0,1.0,5.0,2.0,7.0,6.0,4.0,6.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,mujeres,ambas,presencial
                Asia y Ocean_6.0,13.0,21.0,41.0,50.0,48.0,44.0,4.0,7.0,18.0,27.0,31.0,30.0,25.0,1.0,4.0,2.0,3.0,4.0,8.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,8.0,12.0,10.0,13.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,-,mujeres,ambas,presencial
            Mujeres,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,mujeres,ambas,presencial
                Total,5763.0,6015.0,6004.0,5847.0,6135.0,6313.0,6348.0,2885.0,2914.0,3096.0,2800.0,3108.0,3087.0,3046.0,326.0,256.0,241.0,270.0,258.0,313.0,373.0,596.0,641.0,563.0,570.0,560.0,565.0,521.0,1621.0,1824.0,1716.0,1833.0,1837.0,1950.0,2081.0,335.0,380.0,388.0,374.0,372.0,398.0,327.0,mujeres,ambas,presencial
                Espa񡻵474.0,5601.0,5636.0,5432.0,5779.0,5937.0,5901.0,2755.0,2733.0,2934.0,2629.0,2949.0,2954.0,2882.0,309.0,239.0,217.0,239.0,233.0,259.0,315.0,565.0,599.0,523.0,527.0,532.0,533.0,498.0,1528.0,1677.0,1594.0,1673.0,1703.0,1806.0,1895.0,317.0,353.0,368.0,364.0,362.0,385.0,311.0,-,mujeres,ambas,presencial
                Uni󮠅uropea,104.0,162.0,138.0,173.0,139.0,128.0,171.0,41.0,55.0,46.0,51.0,40.0,30.0,47.0,2.0,1.0,2.0,2.0,0.0,4.0,1.0,10.0,11.0,8.0,13.0,17.0,9.0,9.0,49.0,90.0,80.0,104.0,78.0,79.0,108.0,2.0,5.0,2.0,3.0,4.0,6.0,6.0,mujeres,ambas,presencial
                Resto de Europa,38.0,47.0,31.0,30.0,22.0,25.0,35.0,17.0,21.0,18.0,16.0,13.0,11.0,17.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,7.0,6.0,5.0,1.0,2.0,3.0,12.0,14.0,5.0,8.0,4.0,12.0,13.0,3.0,5.0,1.0,0.0,4.0,0.0,0.0,mujeres,ambas,presencial
                EEUU y CanadỰ.0,0.0,2.0,5.0,2.0,2.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,mujeres,ambas,presencial
                Am鲩ca Latina y Caribe,84.0,113.0,118.0,105.0,97.0,94.0,106.0,44.0,56.0,61.0,56.0,54.0,44.0,53.0,7.0,10.0,8.0,11.0,13.0,16.0,13.0,5.0,11.0,12.0,14.0,4.0,10.0,6.0,22.0,26.0,25.0,21.0,25.0,20.0,29.0,6.0,10.0,12.0,3.0,1.0,4.0,5.0,mujeres,ambas,presencial
                Norte de frica,48.0,79.0,64.0,67.0,72.0,105.0,102.0,19.0,40.0,30.0,29.0,39.0,39.0,35.0,6.0,5.0,12.0,16.0,10.0,33.0,40.0,10.0,13.0,11.0,7.0,5.0,10.0,5.0,6.0,15.0,6.0,12.0,18.0,21.0,17.0,7.0,6.0,5.0,3.0,0.0,2.0,5.0,ambos_sexos,ambas,presencial
